date,total_booked
2016-11-27 00:00:00,1066.0
2016-11-28 00:00:00,1065.0
2016-11-29 00:00:00,1060.0
2016-11-30 00:00:00,1057.0
2016-12-01 00:00:00,1051.0
2016-12-02 00:00:00,1047.0
2016-12-03 00:00:00,1045.0
2016-12-04 00:00:00,1036.0
2016-12-05 00:00:00,1034.0
2016-12-06 00:00:00,1030.0
2016-12-07 00:00:00,1028.0
2016-12-08 00:00:00,1026.0
2016-12-09 00:00:00,1025.0
2016-12-10 00:00:00,1023.0
2016-12-11 00:00:00,1023.0
2016-12-12 00:00:00,1020.0
2016-12-13 00:00:00,1019.0
2016-12-14 00:00:00,1015.0
2016-12-15 00:00:00,1009.0
2016-12-16 00:00:00,1005.0
2016-12-17 00:00:00,1003.0
2016-12-18 00:00:00,1001.0
2016-12-19 00:00:00,1000.0
2016-12-20 00:00:00,1000.0
2016-12-21 00:00:00,999.0
2016-12-22 00:00:00,998.0
2016-12-23 00:00:00,996.0
2016-12-24 00:00:00,996.0
2016-12-25 00:00:00,989.0
2016-12-26 00:00:00,987.0
2016-12-27 00:00:00,987.0
2016-12-28 00:00:00,985.0
2016-12-29 00:00:00,983.0
2016-12-30 00:00:00,978.0
2016-12-31 00:00:00,959.0
2017-01-01 00:00:00,896.0
2017-01-02 00:00:00,1042.0
